Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S109367765,Wood Duck,Aix sponsa,433,3,US-KS,Johnson,L2364943,Craig Crossing Park,38.9637024,-94.8143815,2022-05-08,02:50 PM,eBird - Traveling Count,25,1,1.239,,2
S133838242,Wood Duck,Aix sponsa,433,7,US-KS,Johnson,L1196180,Lake Lenexa & Black Hoof Park,38.9644909,-94.8400998,2023-04-15,10:04 AM,eBird - Traveling Count,88,1,5.118,,2
S144617635,Wood Duck,Aix sponsa,433,1,US-KS,Johnson,L1196180,Lake Lenexa & Black Hoof Park,38.9644909,-94.8400998,2023-07-15,09:17 AM,eBird - Traveling Count,90,0,6.116,,2
S165054154,Wood Duck,Aix sponsa,433,2,US-KS,Johnson,L1196180,Lake Lenexa & Black Hoof Park,38.9644909,-94.8400998,2024-03-16,01:27 PM,eBird - Traveling Count,88,1,5.005,,1
S105023164,Wood Duck,Aix sponsa,433,4,US-MI,Washtenaw,L899963,LeFurge Woods Nature Preserve,42.2866593,-83.6015797,2022-03-17,05:05 PM,eBird - Casual Observation,,0,,,3
S138714733,Blue-winged Teal,Spatula discors,460,3,US-OK,Alfalfa,L1433595,Salt Plains NWR--Auto Loop,36.7968283,-98.1921574,2023-05-21,11:42 AM,eBird - Traveling Count,98,1,8.015,,2
S138692776,Blue-winged Teal,Spatula discors,460,1,US-OK,Alfalfa,L1138866,Salt Plains NWR--Sandpiper Trail,36.7992854,-98.249917,2023-05-21,10:49 AM,eBird - Traveling Count,39,1,1.11,,1
S108627190,Blue-winged Teal,Spatula discors,460,120,US-KS,Barton,L125099,Cheyenne Bottoms WA,38.4634203,-98.6551076,2022-05-01,09:24 AM,eBird - Traveling Count,261,1,41.859,,4
S106616489,Blue-winged Teal,Spatula discors,460,100,US-KS,Douglas,L6345970,Baker Wetlands--Central,38.9208977,-95.2328342,2022-04-09,09:39 AM,eBird - Traveling Count,150,0,3.138,,2
S94892127,Blue-winged Teal,Spatula discors,460,1,US-MO,Holt,L170028,Loess Bluffs NWR,40.068893,-95.23534,2021-09-19,12:23 PM,eBird - Traveling Count,90,0,19.135,,2
S96899294,Blue-winged Teal,Spatula discors,460,10,US-MO,Holt,L170028,Loess Bluffs NWR,40.068893,-95.23534,2021-10-30,11:07 AM,eBird - Traveling Count,320,1,16.592,,4
S120249074,Blue-winged Teal,Spatula discors,460,1,US-MO,Holt,L170028,Loess Bluffs NWR,40.068893,-95.23534,2022-10-08,10:24 AM,eBird - Traveling Count,351,1,15.723,,1
S133228136,Blue-winged Teal,Spatula discors,460,6,US-KS,Johnson,L7949771,Big Bull Creek Park,38.7575284,-94.9980146,2023-04-09,12:28 PM,eBird - Traveling Count,192,0,12.376,,2
S106632690,Blue-winged Teal,Spatula discors,460,3,US-KS,Johnson,L209591,KCP&L Wetlands,38.8014777,-94.9418021,2022-04-09,02:04 PM,eBird - Traveling Count,26,0,1.416,,1
S134019715,Blue-winged Teal,Spatula discors,460,11,US-KS,Johnson,L2748699,Kill Creek Streamway Trail (W 127th St. - W 135th St.),38.8906842,-94.9743122,2023-04-16,12:38 PM,eBird - Traveling Count,220,1,16.737,,2
S133838242,Blue-winged Teal,Spatula discors,460,2,US-KS,Johnson,L1196180,Lake Lenexa & Black Hoof Park,38.9644909,-94.8400998,2023-04-15,10:04 AM,eBird - Traveling Count,88,1,5.118,,2
S122673938,Blue-winged Teal,Spatula discors,460,5,US-KS,Lyon,L506331,Lyon SFL,38.5450272,-96.0599041,2022-11-19,01:59 PM,eBird - Traveling Count,35,1,7.998,,4,,Smallish duck among coots. White stripe at the base of the bill.
S135313289,Blue-winged Teal,Spatula discors,460,5,US-IA,Madison,L1242579,Jensen Marsh,41.3283737,-93.7943387,2023-04-28,12:45 PM,eBird - Traveling Count,96,1,1.609,,4
S135491476,Blue-winged Teal,Spatula discors,460,3,US-IA,Polk,L1758107,Water Works Park (Des Moines),41.5712676,-93.6484743,2023-04-29,07:15 PM,eBird - Traveling Count,17,0,1.255,,4
S110116222,Blue-winged Teal,Spatula discors,460,5,US-MO,Saline,L342550,Grand Pass CA,39.2875556,-93.3177694,2022-05-14,04:23 PM,eBird - Traveling Count,39,1,12.215,,4
S136459847,Blue-winged Teal,Spatula discors,460,2,US-MO,St. Louis,L1234086,Lone Elk County Park,38.5321203,-90.5388451,2023-05-07,08:00 AM,eBird - Traveling Count,116,0,5.069,,2
S108542081,Blue-winged Teal,Spatula discors,460,9,US-KS,Stafford,L12877871,Quivira NWR (Stafford Co.),38.1511805,-98.5188995,2022-04-30,03:48 PM,eBird - Traveling Count,193,1,50.099,,4
S108519773,Blue-winged Teal,Spatula discors,460,3,US-KS,Stafford,L1283484,Quivira NWR--Migrant's Mile & Park Smith Lake,38.1438472,-98.4915894,2022-04-30,02:11 PM,eBird - Traveling Count,90,1,2.43,,4
S95852614,Blue-winged Teal,Spatula discors,460,1,US-MO,Vernon,L170030,Four Rivers CA (Vernon Co.),38.022,-94.289,2021-10-09,11:00 AM,eBird - Traveling Count,240,1,40.234,,4
S108627190,Cinnamon Teal,Spatula cyanoptera,461,1,US-KS,Barton,L125099,Cheyenne Bottoms WA,38.4634203,-98.6551076,2022-05-01,09:24 AM,eBird - Traveling Count,261,1,41.859,,4
S108542081,Cinnamon Teal,Spatula cyanoptera,461,1,US-KS,Stafford,L12877871,Quivira NWR (Stafford Co.),38.1511805,-98.5188995,2022-04-30,03:48 PM,eBird - Traveling Count,193,1,50.099,,4
S138714733,Northern Shoveler,Spatula clypeata,474,1,US-OK,Alfalfa,L1433595,Salt Plains NWR--Auto Loop,36.7968283,-98.1921574,2023-05-21,11:42 AM,eBird - Traveling Count,98,1,8.015,,2
S108627190,Northern Shoveler,Spatula clypeata,474,15,US-KS,Barton,L125099,Cheyenne Bottoms WA,38.4634203,-98.6551076,2022-05-01,09:24 AM,eBird - Traveling Count,261,1,41.859,,4
S106616489,Northern Shoveler,Spatula clypeata,474,3,US-KS,Douglas,L6345970,Baker Wetlands--Central,38.9208977,-95.2328342,2022-04-09,09:39 AM,eBird - Traveling Count,150,0,3.138,,2
S96899294,Northern Shoveler,Spatula clypeata,474,100,US-MO,Holt,L170028,Loess Bluffs NWR,40.068893,-95.23534,2021-10-30,11:07 AM,eBird - Traveling Count,320,1,16.592,,4
S130266513,Northern Shoveler,Spatula clypeata,474,46,US-MO,Holt,L170028,Loess Bluffs NWR,40.068893,-95.23534,2023-03-05,12:07 PM,eBird - Traveling Count,248,1,17.461,,2
S106632690,Northern Shoveler,Spatula clypeata,474,5,US-KS,Johnson,L209591,KCP&L Wetlands,38.8014777,-94.9418021,2022-04-09,02:04 PM,eBird - Traveling Count,26,0,1.416,,1
